,Y Value,Y_Pred,Diffrence
0,13.87,12.913765110479769,0.9562348895202302
1,13.11,12.860366839661458,0.24963316033854177
2,14.37,12.91676501333473,1.4532349866652687
3,13.83,12.893965751637024,0.9360342483629758
4,13.49,13.015161826977462,0.4748381730225386
5,13.45,13.021761613258375,0.42823838674162396
6,14.1,12.920964877331675,1.1790351226683242
7,13.56,12.902365479630916,0.6576345203690845
8,12.47,12.890965848782063,-0.4209658487820622
9,13.05,12.922764819044652,0.12723518095534914
10,14.22,13.039161049817151,1.1808389501828493
11,13.56,12.9035654407729,0.656434559227101
12,12.7,13.012761904693493,-0.3127619046934935
13,12.6,12.880166198504202,-0.28016619850420277
14,13.52,12.989962642995787,0.530037357004213
15,13.39,12.905965363056868,0.4840346369431323
16,12.43,12.891565829353054,-0.461565829353054
17,13.24,13.038561069246159,0.20143893075384156
18,11.84,12.85316707280955,-1.0131670728095497
19,12.93,13.027761418968298,-0.09776141896829849
20,14.22,12.901765499059923,1.3182345009400773
21,13.29,12.917964974476714,0.37203502552328516
22,11.96,12.865166684229395,-0.9051666842293944
23,12.69,12.891565829353054,-0.20156582935305423
24,12.52,12.945564080742358,-0.4255640807423582
25,12.08,12.883166101359162,-0.803166101359162
26,13.77,12.913765110479769,0.8562348895202305
27,12.86,12.880766179075193,-0.020766179075193847
28,13.4,13.034361205249214,0.36563879475078664
29,13.88,12.913165129908776,0.9668348700912244
30,12.37,12.897565635062977,-0.5275656350629774
31,13.67,12.87476637336527,0.7952336266347295
32,12.85,12.89576569335,-0.0457656933500008
33,13.2,12.906565343627861,0.2934346563721384
34,13.16,13.013961865835476,0.14603813416452383
35,13.17,12.955163769878235,0.21483623012176523
36,13.74,12.899965557346945,0.8400344426530548
37,12.93,12.968363342440064,-0.03836334244006423
38,13.32,12.994162506992732,0.3258374930072687
39,12.72,12.908365285340839,-0.18836528534083818
40,11.64,12.923364799615644,-1.2833647996156436
41,12.64,12.881366159646186,-0.24136615964618535
42,12.25,13.082959631499588,-0.8329596314995875
43,14.38,13.015161826977462,1.3648381730225392
44,12.77,12.943164158458389,-0.1731641584583894
45,12.37,12.867566606513364,-0.4975666065133648
46,13.05,12.9035654407729,0.14643455922710125
47,12.96,13.00676209898357,-0.04676209898356909
48,13.75,12.9035654407729,0.8464345592271005
49,12.29,12.884366062501147,-0.5943660625011482
50,13.83,12.898765596204962,0.9312344037950382
51,12.29,12.96956330358205,-0.6795633035820501
52,12.37,12.86396672308741,-0.49396672308741074
53,13.64,12.98576277899884,0.6542372210011607
54,13.58,12.954563789307242,0.625436210692758
55,12.34,12.946764041884343,-0.6067640418843432
56,12.85,12.995962448705708,-0.14596244870570807
57,12.0,13.005562137841585,-1.0055621378415847
58,14.39,12.911965168766791,1.4780348312332094
59,13.86,12.89036586821107,0.9696341317889292
60,13.05,13.031361302394252,0.018638697605748433
61,13.63,12.908365285340839,0.721634714659162
62,12.51,12.87416639279428,-0.36416639279427976
63,14.1,12.929364605325567,1.1706353946744326
64,11.79,12.927564663612591,-1.1375646636125918
65,12.58,12.877166295649241,-0.2971662956492409
66,14.16,12.950363925310297,1.209636074689703
67,13.28,12.89816561563397,0.3818343843660301
68,13.24,12.955163769878235,0.2848362301217655
69,11.84,12.973163187008003,-1.1331631870080034
70,13.5,12.986962740140825,0.5130372598591748
71,11.65,12.899965557346945,-1.249965557346945
